YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2021,2,14946,79800,Craigslist
2019,4,32041,55500,Craigslist
2020,3,9916,77991,Craigslist
2021,2,23616,73991,Craigslist
2019,4,55000,26500,Craigslist
2022,1,18639,29985,Craigslist
2021,2,40036,22985,Craigslist
2019,4,85642,19995,Craigslist
2019,4,43319,23900,Craigslist
2015,8,113173,11455,Craigslist
2017,6,81000,26000,Craigslist
2015,8,195914,8985,Craigslist
2020,3,35260,38995,Craigslist
2020,3,80040,23995,Craigslist
2018,5,41622,32500,Craigslist
2019,4,84904,17999,Craigslist
