YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2021,2,"14,946","79,800",Craigslist
2019,4,"32,041","55,500",Craigslist
2020,3,"9,916","77,991",Craigslist
2021,2,"23,616","73,991",Craigslist
2019,4,"55,000","26,500",Craigslist
2022,1,"18,639","29,985",Craigslist
2021,2,"40,036","22,985",Craigslist
2019,4,"85,642","19,995",Craigslist
2019,4,"43,319","23,900",Craigslist
2015,8,"113,173","11,455",Craigslist
2017,6,"81,000","26,000",Craigslist
2015,8,"195,914","8,985",Craigslist
2020,3,"35,260","38,995",Craigslist
2020,3,"80,040","23,995",Craigslist
2018,5,"41,622","32,500",Craigslist
2019,4,"84,904","17,999",Craigslist
